Tweet,Message/tweets,match,polarity
180,RT Following Hockey Canadas decision to cancel all Hockey Canadasanctioned activities due to concerns over COVID19 Hockey Manitoba has canceled all sanctioned games and programs effective immediately,concerns,Negative
181,lituainianach VaultAusir shaunwkearney Excuse me 1 where can I find hipster pieorgi in Scotland it is one of the things I desperately miss about Canada 2 do they have vegetarian options,desperately,Negative
182,DallasIrish BritishAirways Fly canada and tgeb switch to US,,Neutral
183,ArthurDMira jimsarty NBAonTNT Oh you thought I was complimenting Canada when I said let everyone fly inif you did trust me i was condemning Canada gov for letting everyone fly inif thats what you meantsorry,trust,Positive
184,RT We can have one little bit of big good news,good,Positive
185,TeaPainUSA SeanOfCanada So based on current stats at least 90 million Americans will get sick 18 million seriously and 9 million will die What will it take for Trump supporters to reject him Mass graves Starvation Anarchy all of the above,sick,Negative
186,Atta go Canada Carry on,,Neutral
187,RT Stocks past monthChina 03Hong Kong 13Indonesia 15Turkey 16Saudi 16Switzerland 17US 18S Korea 18Russia 18Canada 20UK 22Japan 23Netherlands 23Germany 24France 24Spain 25Australia 25Brazil 26Italy 28,,Neutral
188,RT Is there any country other than Canada that has 100 cases and has not enacted some form of travel ban andor mass gathering ban We seem to be the global laggard and seriously offside,,Neutral
189,RT Chelsea Manning is free,free,Positive
190,ScottTerrioHMA CPHOCanada reshminair All But they completed forms so its low risk Thats why no gatherings bigger than 250 people in BC,risk,Negative
191,RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul,,Neutral
192,RT Hey friends I tweeted about some coronavirus news up in Canada Trudeau quarantinedCancer Dr in my city infecte,,Neutral
193,Coronavirus Travel event cancellations could help the economy in the long run Global News via GoogleNews,,Neutral
194,RT In any public health crisis the burden of risk falls more heavily on the vulnerable and the marginalized The uni,crisis,Negative
195,I agree,,Neutral
196,This applies to our upcoming games as well Cancelled until further notice,well,Positive
197,This is the worst kind of thing,worst,Negative
198,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d,top,Positive
199,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective,effective,Positive
200,RT The University is 100 protected from COVID19 thanks to Duo TwoFactor Authorization,,Neutral
201,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly scre,properly,Positive
202,RT BREAKING As concerns surrounding the COVID19 pandemic continue to grow Western University has announced that it,concerns,Negative
203,RT I will be visiting the University of Memphis on April 11,,Neutral
204,RT China and Russia are using their diaspora in Canada and undercover agents to try and sway public opinion manipulate the media and influence government decisionmaking according to a new redacted intelligence report cattunneycbc,manipulate,Negative
205,RT The Winnipeg Jets are partowned by a man named David Thomson He is the richest man in Canada worth about 378 billion If he went completely insane and gave every parttime employee 50000 to selfquarantine for the next year hed still be worth about 378 billion,worth,Positive
